profile_id,stop_depth_fsw,duration_air_min,duration_o2_min,can_enter_chamber
309,80,8,8,0
309,70,19,19,0
309,60,22,22,0
309,50,23,23,0
309,40,37,37,0
309,30,66,33,0
309,20,574,148,1
310,90,9,9,0
310,80,19,19,0
310,70,20,20,0
310,60,22,22,0
310,50,42,42,0
310,40,60,60,0
310,30,94,46,0
310,20,659,198,1
311,100,10,10,0
311,90,18,18,0
311,80,19,19,0
311,70,40,40,0
311,60,43,43,0
311,50,70,70,0
311,40,97,97,0
311,30,156,74,0
311,20,703,229,1
312,20,0,0,1
313,20,8,4,1
314,40,2,2,0
314,30,3,2,0
314,20,14,7,1
315,50,1,1,0
315,40,5,5,0
315,30,7,3,0
315,20,29,15,1
316,50,5,5,0
316,40,6,6,0
316,30,7,4,0
316,20,57,24,1
317,60,3,3,0
317,50,6,6,0
317,40,6,6,0
317,30,7,4,0
317,20,95,34,1
318,70,1,1,0
318,60,5,5,0
318,50,6,6,0
318,40,6,6,0
318,30,22,11,0
318,20,144,41,1
319,70,2,2,0
319,60,6,6,0
319,50,5,5,0
319,40,13,13,0
319,30,28,14,0
319,20,178,48,1
320,70,4,4,0
320,60,5,5,0
320,50,10,10,0
320,40,20,20,0
320,30,28,14,0
320,20,235,63,1
321,70,4,4,0
321,60,8,8,0
321,50,13,13,0
321,40,25,25,0
321,30,29,15,0
321,20,277,75,1
322,70,5,5,0
322,60,11,11,0
322,50,19,19,0
322,40,26,26,0
322,30,28,14,0
322,20,336,87,1
323,80,1,1,0
323,70,8,8,0
323,60,13,13,0
323,50,23,23,0
323,40,25,25,0
323,30,31,16,0
323,20,406,100,1
324,80,4,4,0
324,70,12,12,0
324,60,21,21,0
324,50,24,24,0
324,40,25,25,0
324,30,48,24,0
324,20,499,119,1
325,20,0,0,1
326,30,2,1,0
326,20,8,4,1
327,50,1,1,0
327,40,3,3,0
327,30,3,2,0
327,20,16,8,1
328,60,1,1,0
328,50,2,2,0
328,40,6,6,0
328,30,7,4,0
328,20,34,17,1
329,60,2,2,0
329,50,6,6,0
329,40,7,7,0
329,30,7,3,0
329,20,72,28,1
330,70,1,1,0
330,60,6,6,0
330,50,5,5,0
330,40,7,7,0
330,30,13,7,0
330,20,122,38,1
331,70,4,4,0
331,60,5,5,0
331,50,6,6,0
331,40,8,8,0
331,30,26,13,0
331,20,165,45,1
332,80,1,1,0
332,70,5,5,0
332,60,5,5,0
332,50,8,8,0
332,40,17,17,0
332,30,28,15,0
332,20,217,58,1
333,80,2,2,0
333,70,5,5,0
333,60,6,6,0
333,50,12,12,0
333,40,24,24,0
333,30,29,15,0
333,20,264,71,1
334,80,3,3,0
334,70,5,5,0
334,60,10,10,0
334,50,17,17,0
334,40,26,26,0
334,30,28,14,0
334,20,324,85,1
335,80,4,4,0
335,70,8,8,0
